CATReporterIMID,actionType,type,symbol,price,quantityside,eventTimestamp,firmDesignatedID,firmROEID,orderID,routedOrderID,parentOrderID,priorRoutedOrderID,orderType,parentOrderKeyDate,accountHolderType,orderKeyDate,leavesQty,senderType,negotiatedTradeFlag,initiator,affiliateFlag,cancelQty,custDspIntrFlag,solicitationFlag,routeRejectedFlag,electronicTimestamp,electronicDupFlag,tradingSession,destination,isoInd,receiverIMID,multiLegInd,priorRoutedOrderID,representativeInd,infoBarrierID,manualFlag,deptType,senderIMID,destinationType,dupROIDCond
CFSX,NEW,MEOR,DOG,NULL,NULL,20230210T135241.737,NULL,20230210_O_d27d950d-87d7-4e47-81ca-56611b5f635e,2315230000000013,2315230000000013.1,NULL,NULL,MKT,NULL,NULL,20230210T135241.727,NULL,NULL,NULL,NULL,True,NULL,NULL,NULL,True,NULL,False,ALL,134:CANT,NA,NULL,False,NULL,NULL,NULL,False,NULL,285841:CFSX,F,False
CFSX,NEW,MEOR,DOG,NULL,NULL,20230210T135250.787,NULL,20230210_O_dc514356-4993-41a9-b91a-d835bdd543b9,2315230000000014,2315230000000014.1,NULL,NULL,MKT,NULL,NULL,20230210T135250.777,NULL,NULL,NULL,NULL,True,NULL,NULL,NULL,True,NULL,False,ALL,134:CANT,NA,NULL,False,NULL,NULL,NULL,False,NULL,285841:CFSX,F,False
CFSX,NEW,MEOR,FAT,NULL,NULL,20230210T142402.099,NULL,20230210_O_770268e4-5e65-41bf-914a-02d34a8725dd,2315230000000017,2315230000000017.1,NULL,NULL,MKT,NULL,NULL,20230210T142402.973,NULL,NULL,NULL,NULL,True,NULL,NULL,NULL,True,NULL,False,ALL,134:CANT,NA,NULL,False,NULL,NULL,NULL,False,NULL,285841:CFSX,F,False
CFSX,NEW,MEOR,HOG,NULL,NULL,20230210T140445.167,NULL,20230210_O_c4ec776e-cec0-464c-af35-f9e9e6568e39,2315230000000016,2315230000000016.1,NULL,NULL,MKT,NULL,NULL,20230210T140445.153,NULL,NULL,NULL,NULL,True,NULL,NULL,NULL,True,NULL,False,ALL,134:CANT,NA,NULL,False,NULL,NULL,NULL,False,NULL,285841:CFSX,F,False
CFSX,NEW,MEOR,LL,NULL,NULL,20230210T155903.227,NULL,20230210_O_6e38ab5d-3798-4823-a63f-c3a618083828,2315230000000020,2315230000000020.1,NULL,NULL,MKT,NULL,NULL,20230210T155903.217,NULL,NULL,NULL,NULL,True,NULL,NULL,NULL,True,NULL,False,ALL,134:CANT,NA,NULL,False,NULL,NULL,NULL,False,NULL,285841:CFSX,F,False
CFSX,NEW,MEOR,MET,NULL,NULL,20230210T142438.963,NULL,20230210_O_aabdc66e-6501-4589-bbcc-59612485bac7,2315230000000018,2315230000000018.1,NULL,NULL,MKT,NULL,NULL,20230210T142438.095,NULL,NULL,NULL,NULL,True,NULL,NULL,NULL,True,NULL,False,ALL,134:CANT,NA,NULL,False,NULL,NULL,NULL,False,NULL,285841:CFSX,F,False
CFSX,NEW,MEOR,NXST,NULL,NULL,20230210T094706.827,NULL,20230210_O_d3cd3e52-6a5d-4634-9068-ae0b640467e6,2315230000000004,2315230000000004.1,NULL,NULL,MKT,NULL,NULL,20230210T094706.817,NULL,NULL,NULL,NULL,True,NULL,NULL,NULL,True,NULL,False,ALL,134:CANT,NA,NULL,False,NULL,NULL,NULL,False,NULL,285841:CFSX,F,False
CFSX,NEW,MEOR,XRAY,NULL,NULL,20230210T135548.337,NULL,20230210_O_0b86c6d6-b16a-4527-980d-907d8c464d3c,2315230000000015,2315230000000015.1,NULL,NULL,MKT,NULL,NULL,20230210T135548.327,NULL,NULL,NULL,NULL,True,NULL,NULL,NULL,True,NULL,False,ALL,134:CANT,NA,NULL,False,NULL,NULL,NULL,False,NULL,285841:CFSX,F,False
CFSX,NEW,MEOR,Z,NULL,NULL,20230210T094246.957,NULL,20230210_O_999c6841-22c4-44b9-a097-66375c6ca0c8,2315230000000003,2315230000000003.1,NULL,NULL,MKT,NULL,NULL,20230210T094246.947,NULL,NULL,NULL,NULL,True,NULL,NULL,NULL,True,NULL,False,ALL,134:CANT,NA,NULL,False,NULL,NULL,NULL,False,NULL,285841:CFSX,F,False
CFSX,NEW,MEMR,BNY,NULL,NULL,20230210T134231.043,NULL,20230210_O_ff31255d-db4a-45ee-9e93-a15d38bd9241,2315230000000006,2315230000000006.5,NULL,2315230000000006.1,MKT,NULL,NULL,20230210T133947.813,NULL,NULL,NULL,NULL,True,NULL,NULL,NULL,False,NULL,NULL,ALL,134:CANT,NA,NULL,False,2315230000000006.1,NULL,NULL,False,NULL,285841:CFSX,F,False
